URL,sku,price,upc,title
https://wholesale.primitivesbykathy.com/pick-salvia-mix-white-102487,#102487,$3.50,190134024871,Pick - Salvia Mix White
https://wholesale.primitivesbykathy.com/spiral-notebook-my-soul-is-made-of-wildflowers-102372,#102372,$5.00,190134023720,Spiral Notebook - My Soul Is Made Of Wildflowers
https://wholesale.primitivesbykathy.com/inset-box-sign-he-is-risen-101718,#101718,$11.50,190134017187,Inset Box Sign - He Is Risen
https://wholesale.primitivesbykathy.com/mini-frame-love-always-102825,#102825,$3.00,190134028251,Mini Frame - Love Always
https://wholesale.primitivesbykathy.com/dish-towel-life-lived-in-love-will-never-be-dull-101738,#101738,$7.50,190134017385,Dish Towel - Life Lived In Love Will Never Be Dull
https://wholesale.primitivesbykathy.com/block-sign-youre-the-best-part-of-my-day-102851,#102851,$3.50,190134028510,Block Sign - You're The Best Part Of My Day
https://wholesale.primitivesbykathy.com/glitter-eggs-lg-pink-102257,#102257,$3.00,190134022570,Glitter Eggs - Lg Pink
https://wholesale.primitivesbykathy.com/inset-box-sign-let-all-you-do-be-done-in-love-102811,#102811,$6.50,190134028114,Inset Box Sign - Let All You Do Be Done In Love
https://wholesale.primitivesbykathy.com/list-notepad-spring-is-in-the-air-101731,#101731,$1.75,190134017316,List Notepad - Spring Is In The Air
https://wholesale.primitivesbykathy.com/glitter-eggs-small-pink-102255,#102255,$2.00,190134022556,Glitter Eggs - Small Pink
https://wholesale.primitivesbykathy.com/chunky-sitter-spring-101233,#101233,$7.00,190134012335,Chunky Sitter - Spring
https://wholesale.primitivesbykathy.com/zipper-pouch-see-the-good-102664,#102664,$9.50,190134026646,Zipper Pouch - See The Good
https://wholesale.primitivesbykathy.com/plaque-frame-and-then-there-was-you-101708,#101708,$7.50,190134017088,Plaque Frame - And Then There Was You
https://wholesale.primitivesbykathy.com/pitcher-happy-humble-133251,#133251,$8.50,190134332518,Pitcher - Happy Humble
https://wholesale.primitivesbykathy.com/round-planter-purple-rosette-102629,#102629,$7.00,190134026295,Round Planter - Purple Rosette
https://wholesale.primitivesbykathy.com/block-sign-good-luck-vibes-102239,#102239,$3.50,190134022396,Block Sign - Good Luck Vibes
https://wholesale.primitivesbykathy.com/sitter-bunny-puzzle-103799,#103799,$9.50,190134037994,Sitter - Bunny Puzzle
https://wholesale.primitivesbykathy.com/list-notepad-love-102027,#102027,$1.75,190134020279,List Notepad - Love
https://wholesale.primitivesbykathy.com/box-sign-my-mother-was-right-about-everything-103465,#103465,$5.00,190134034658,Box Sign - My Mother Was Right About Everything
https://wholesale.primitivesbykathy.com/accent-ball-daisy-101918,#101918,$3.00,190134019181,Accent Ball - Daisy
https://wholesale.primitivesbykathy.com/bottle-brush-carrots-102612,#102612,$9.00,190134026127,Bottle Brush Carrots
https://wholesale.primitivesbykathy.com/dish-towel-bee-happy-102574,#102574,$6.00,190134025748,Dish Towel - Bee Happy
https://wholesale.primitivesbykathy.com/pillow-youre-the-mom-everyone-wishes-they-had-103408,#103408,$9.50,190134034085,Pillow - You're The Mom Everyone Wishes They Had
https://wholesale.primitivesbykathy.com/pillow-believe-32305,#32305,,883504323055,Pillow - Believe
https://wholesale.primitivesbykathy.com/hanging-decor-grateful-heart-102559,#102559,$10.50,190134025595,Hanging Decor - Grateful Heart
